,0,1,2
0,69,679,409
1,71,679,415
2,72,676,418
3,73,678,424
4,133,792,512
5,134,804,514
6,137,812,510
7,139,828,518
8,140,834,520
9,143,850,534
10,161,778,268
11,163,768,252
12,164,766,250
13,165,762,248
14,222,714,464
15,223,712,458
16,224,708,452
17,225,708,450
18,227,707,447
19,230,704,452
20,231,702,456
21,233,702,461
22,234,700,468
23,235,696,474
24,236,697,485
25,237,696,496
26,239,694,510
27,255,776,190
28,258,780,176
29,259,784,172
30,260,786,170
31,261,786,168
32,270,792,184
33,324,802,460
34,325,802,456
35,330,800,454
36,331,800,456
37,332,802,460
38,333,798,462
39,335,799,474
40,409,847,524
41,437,834,174
42,438,830,168
43,439,824,162
44,440,822,160
45,445,814,162
46,447,813,169
47,449,810,170
48,450,810,178
49,482,818,154
50,483,818,164
51,512,794,548
52,513,792,540
53,515,791,535
54,516,791,531
55,517,788,526
56,518,786,524
57,519,786,525
58,521,784,526
59,524,779,535
60,525,778,540
61,527,777,548
62,537,785,253
63,539,786,237
64,541,790,216
65,542,792,208
66,543,793,201
67,545,795,197
68,546,799,195
